ID	sample_SRR5343918	sample_SRR5343920	sample_SRR5343922	sample_SRR5343924	sample_SRR5343926
ENSG00000159363	4469	7271	5623	10471	5272
ENSG00000117118	5930	5219	6885	4877	5532
ENSG00000117115	71	1847	27	44	219
ENSG00000281330	0	0	0	0	0
ENSG00000204362	0	22	0	0	0
ENSG00000282843	0	0	0	0	0
ENSG00000142623	6	30	0	0	7
ENSG00000142619	0	11	0	2	0
ENSG00000266634	0	1	0	0	0
ENSG00000159339	0	8	0	3	5
ENSG00000280226	0	0	0	0	0
ENSG00000276747	0	1	0	0	4
ENSG00000227751	0	0	0	0	0
ENSG00000179051	13070	7905	18935	14337	10569
ENSG00000266727	0	0	0	0	0
ENSG00000074964	3603	1863	1883	1725	1771
ENSG00000236648	0	1	0	2	0
ENSG00000278471	0	0	0	0	0
ENSG00000117148	1	69	5	0	8
ENSG00000261781	0	0	0	0	0
ENSG00000117154	16	224	242	35	229
ENSG00000280222	0	15	3	1	5
ENSG00000230035	0	0	0	0	0
ENSG00000225387	0	0	0	0	0
ENSG00000179023	0	1	1	3	5
ENSG00000235282	0	0	0	0	1
ENSG00000225478	0	0	0	0	0
ENSG00000009709	0	27	13	0	1
ENSG00000179002	0	0	0	0	0
ENSG00000255275	0	0	1	0	0
ENSG00000159423	710	1967	1183	2049	1285
ENSG00000265606	0	0	0	0	0
ENSG00000221662	0	0	0	0	0
ENSG00000169991	3235	2606	3090	5288	2062
ENSG00000272084	40	102	7	41	26
ENSG00000127481	18222	11090	14448	16821	9743
ENSG00000230424	32	32	21	40	16
ENSG00000127463	7079	5205	12710	7525	4523
ENSG00000053372	3653	3199	4168	5385	4159
ENSG00000211454	27	46	146	67	13
ENSG00000162482	34	79	194	69	50
ENSG00000270728	39	19	15	74	22
ENSG00000053371	2451	2829	2830	2835	3394
ENSG00000200403	5	4	1	7	3
ENSG00000040487	2412	3539	1929	2272	1800
ENSG00000077549	14980	13543	12700	7105	19133
ENSG00000240490	0	0	0	0	0
ENSG00000201609	0	0	0	0	0
ENSG00000235185	0	2	0	0	1
ENSG00000173436	452	846	797	739	1286
ENSG00000270136	0	2	0	0	0
ENSG00000226396	97	47	59	23	49
ENSG00000158747	973	5162	4274	1927	4051
ENSG00000158748	0	1	138	2	6
ENSG00000162542	3262	1637	1406	890	1313
ENSG00000178828	0	0	0	0	1
ENSG00000235434	0	0	0	0	2
ENSG00000169914	2610	777	1137	979	507
ENSG00000188784	0	0	0	0	0
ENSG00000242688	0	0	0	0	0
ENSG00000188257	20	2790	150	134	871
ENSG00000127472	40	61	70	244	96
ENSG00000117215	145	779	5	32	21
ENSG00000158786	0	0	0	1	0
ENSG00000227066	2	32	0	882	59
ENSG00000187980	0	6	8	71	2
ENSG00000225986	5	46	114	253	12
ENSG00000162543	13	486	1217	3650	129
ENSG00000228105	0	0	0	0	0
ENSG00000158816	0	0	0	4	0
ENSG00000226664	0	0	0	0	1
ENSG00000236963	4	8	2	1	6
ENSG00000226487	0	0	0	1	0
ENSG00000162545	4738	429	2568	5946	2157
ENSG00000090432	5319	3337	3413	2087	2728
ENSG00000215520	0	0	0	0	0
ENSG00000183114	15	27	668	33	125
ENSG00000158825	123	49	33	20	92
ENSG00000158828	1856	940	1320	532	1265
ENSG00000273695	0	0	0	0	0
ENSG00000117242	208	247	193	176	155
ENSG00000244038	21028	18286	34011	17054	15037
ENSG00000117245	25	585	209	48	1046
ENSG00000235432	0	0	0	0	0
ENSG00000189410	39	25	47	58	81
ENSG00000233069	0	1	0	0	1
ENSG00000127483	11724	16645	15255	14248	9245
ENSG00000075151	7132	4533	8234	12295	5095
ENSG00000251914	0	1	0	0	0
ENSG00000221808	0	0	0	0	0
ENSG00000233072	1	5	0	1	0
ENSG00000236073	0	0	0	0	0
ENSG00000235112	0	1	0	0	2
ENSG00000117298	3460	3237	12262	25548	20026
ENSG00000236936	0	0	0	11	0
ENSG00000231105	1	9	10	9	4
ENSG00000236216	2	0	0	0	1
ENSG00000228823	0	0	0	0	0
ENSG00000236009	0	0	0	0	0
ENSG00000227001	39	21	44	2	17
ENSG00000187952	3	0	8	2	5
ENSG00000186543	1	0	8	0	1
ENSG00000142794	610	138	502	33	331
ENSG00000176378	0	0	0	0	0
