ID	sample_SRR5343917	sample_SRR5343919	sample_SRR5343921	sample_SRR5343923	sample_SRR5343925
ENSG00000206652	0	1	1	0	1
ENSG00000261135	3	28	42	63	7
ENSG00000224174	0	2	0	13	0
ENSG00000233421	0	0	0	0	0
ENSG00000277344	0	0	0	0	0
ENSG00000268991	0	0	0	0	0
ENSG00000225710	0	1	0	0	0
ENSG00000266584	0	0	0	0	0
ENSG00000219481	975	409	1403	1598	841
ENSG00000271732	0	3	0	2	2
ENSG00000215908	570	852	1467	1233	544
ENSG00000186301	26	300	419	80	93
ENSG00000282143	0	0	0	5	2
ENSG00000207513	0	0	0	0	0
ENSG00000237847	0	0	0	0	0
ENSG00000280114	0	0	106	0	1
ENSG00000264742	0	0	0	0	0
ENSG00000236698	766	405	741	320	504
ENSG00000268869	0	2	201	1	2
ENSG00000279151	0	2	1	0	0
ENSG00000279132	0	0	0	0	0
ENSG00000282740	0	1	2	0	0
ENSG00000058453	1134	1366	1909	2510	1436
ENSG00000227684	1	0	0	2	1
ENSG00000207389	0	1	0	2	0
ENSG00000186715	6	176	194	20	62
ENSG00000223643	0	0	0	0	0
ENSG00000230239	0	0	4	0	0
ENSG00000263811	0	0	0	0	0
ENSG00000228549	1	0	0	0	0
ENSG00000277234	0	0	0	0	0
ENSG00000238142	4	124	80	45	115
ENSG00000235241	1	42	53	14	36
ENSG00000207005	0	1	0	0	0
ENSG00000272426	0	7	2	4	4
ENSG00000117122	116	68	13736	12059	2515
ENSG00000226526	0	1	5	53	20
ENSG00000159363	4480	5256	3124	12065	3085
ENSG00000117118	6355	7550	6100	4887	5592
ENSG00000117115	26	144	59	204	869
ENSG00000281330	0	0	0	0	0
ENSG00000204362	0	10	2	0	1
ENSG00000282843	0	0	0	0	0
ENSG00000142623	48	86	3	1	2
ENSG00000142619	2	36	2	2	1
ENSG00000266634	0	0	0	0	0
ENSG00000159339	0	1	17	4	66
ENSG00000280226	0	0	0	0	0
ENSG00000276747	0	1	0	0	11
ENSG00000227751	0	0	0	0	0
ENSG00000179051	13159	5789	15205	15016	8059
ENSG00000266727	0	0	0	0	0
ENSG00000074964	3323	868	1171	1965	1470
ENSG00000236648	0	0	1	0	0
ENSG00000278471	0	0	0	0	0
ENSG00000117148	37	85	4	8	3
ENSG00000261781	0	0	0	0	0
ENSG00000117154	41	35	85	156	99
ENSG00000280222	0	1	2	4	3
ENSG00000230035	0	0	0	0	0
ENSG00000225387	0	0	0	0	0
ENSG00000179023	0	0	1	2	2
ENSG00000235282	0	0	0	0	0
ENSG00000225478	0	0	0	0	0
ENSG00000009709	0	24	3	0	3
ENSG00000179002	0	0	0	0	1
ENSG00000255275	0	0	0	0	0
ENSG00000159423	621	1376	326	1691	662
ENSG00000265606	0	0	0	0	0
ENSG00000221662	0	0	0	0	0
ENSG00000169991	2571	1587	2258	4215	1062
ENSG00000272084	6	38	12	26	62
ENSG00000127481	11883	6155	15671	18787	5721
ENSG00000230424	10	23	30	20	16
ENSG00000127463	6584	4228	11333	11177	3341
ENSG00000053372	4064	4837	3451	4677	3394
ENSG00000211454	5	41	88	91	56
ENSG00000162482	4	115	101	102	197
ENSG00000270728	30	24	35	39	20
ENSG00000053371	2436	2569	2140	3378	1662
ENSG00000200403	0	3	2	4	2
ENSG00000040487	1652	2750	1199	2800	1418
